uri:/instrument/1.0/DE/chartdata;type=quote;range=1d/csv
ticker:de
Company-Name:Deere & Company Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:84.0200
Timestamp:1473341400,1473364800
labels:1473343200,1473346800,1473350400,1473354000,1473357600,1473361200,1473364800
values:Timestamp,close,high,low,open,volume
close:83.2800,83.9700
high:83.3000,83.9800
low:83.2500,83.9300
open:83.2700,83.9700
volume:200,131800
1473341458,83.4250,83.6550,83.4250,83.6400,35900
1473341519,83.4250,83.5400,83.3600,83.5400,10000
1473341579,83.7950,83.8000,83.4568,83.5050,5000
1473341581,83.3900,83.7900,83.3800,83.6000,15700
1473341699,83.3400,83.5250,83.2700,83.5250,11200
1473341757,83.3200,83.4100,83.2700,83.3001,19700
1473341814,83.4700,83.4700,83.2700,83.3500,8600
1473341822,83.3800,83.4500,83.3600,83.4200,4000
1473341932,83.3750,83.4000,83.3500,83.3800,3500
1473341997,83.3681,83.3900,83.3000,83.3500,14000
1473342055,83.4900,83.5300,83.3500,83.3700,9800
1473342062,83.5100,83.5100,83.3700,83.4800,8200
1473342178,83.5700,83.6700,83.4795,83.4795,8300
1473342183,83.6500,83.6500,83.5200,83.5700,7000
1473342243,83.6200,83.7300,83.5800,83.6400,4500
1473342303,83.4900,83.5900,83.4500,83.5700,16200
1473342415,83.4900,83.5500,83.4800,83.4900,13200
1473342475,83.5400,83.5900,83.4650,83.5200,15400
1473342480,83.4000,83.5400,83.3800,83.5400,13600
1473342540,83.3800,83.4350,83.3400,83.4300,5500
1473342605,83.3600,83.3600,83.3100,83.3500,4500
1473342666,83.4100,83.4100,83.2900,83.3200,4500
1473342776,83.4000,83.5300,83.4000,83.4280,6600
1473342839,83.3000,83.4300,83.3000,83.4000,11200
1473342840,83.3200,83.3600,83.3000,83.3200,5200
1473342905,83.3100,83.3400,83.3100,83.3200,500
1473343011,83.4500,83.4800,83.2900,83.3100,4700
1473343077,83.4000,83.4700,83.3600,83.4300,4600
1473343138,83.4200,83.4500,83.3700,83.4300,4800
1473343143,83.3200,83.4500,83.3200,83.4400,3800
1473343257,83.3600,83.3900,83.3100,83.3300,8900
1473343313,83.3700,83.3700,83.3000,83.3400,5000
1473343376,83.3600,83.4100,83.3500,83.3700,4500
1473343438,83.3500,83.3700,83.2900,83.3700,13500
1473343442,83.3600,83.3700,83.3000,83.3599,3100
1473343501,83.3800,83.4400,83.3400,83.3400,10700
1473343616,83.3300,83.3800,83.3200,83.3800,4200
1473343668,83.3900,83.4300,83.3600,83.3600,5100
1473343683,83.3800,83.4100,83.3400,83.3700,3000
1473343793,83.3400,83.4000,83.3300,83.3850,5700
1473343802,83.3000,83.3400,83.2700,83.3400,9000
1473343860,83.3300,83.3300,83.3000,83.3000,12300
1473343923,83.3500,83.3800,83.3100,83.3100,2600
1473344038,83.3000,83.3500,83.3000,83.3500,1500
1473344077,83.3000,83.3500,83.3000,83.3300,4100
1473344159,83.3700,83.3900,83.2900,83.3000,7400
1473344213,83.3400,83.3700,83.3300,83.3600,8100
1473344221,83.3500,83.3600,83.3000,83.3400,6800
1473344298,83.3100,83.3550,83.3100,83.3500,2200
1473344355,83.3100,83.3300,83.3000,83.3100,3100
1473344453,83.3000,83.3000,83.3000,83.3000,900
1473344464,83.3000,83.3300,83.3000,83.3000,5300
1473344578,83.2800,83.3100,83.2500,83.3100,10000
1473344638,83.3712,83.4000,83.2700,83.2700,10000
1473344645,83.3700,83.4000,83.3500,83.3700,3700
1473344703,83.3325,83.3700,83.3200,83.3700,2000
1473344794,83.3700,83.3700,83.3300,83.3300,2900
1473344878,83.3400,83.3750,83.3400,83.3700,3500
1473344884,83.4700,83.4700,83.3500,83.3500,3900
1473344990,83.4600,83.4900,83.4600,83.4800,2600
1473345059,83.5250,83.5300,83.4500,83.4650,9800
